Message_body,Label
Rofl. Its true to its name,Non-Spam
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam
"Pity, * was in mood for that. So...any other suggestions?",Non-Spam
Will ü b going to esplanade fr home?,Non-Spam
"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam
Huh y lei...,Non-Spam
Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam
Ard 6 like dat lor.,Non-Spam
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam
Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam
Anything lor. Juz both of us lor.,Non-Spam
if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam
"Sorry, I'll call later",Non-Spam
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam
Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam
Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam
Hahaha..use your brain dear,Non-Spam
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam
Wen did you get so spiritual and deep. That's great,Non-Spam
"Cool, what time you think you can get here?",Non-Spam
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam
"No, I was trying it all weekend ;V",Non-Spam
Ic. There are a lotta childporn cars then.,Non-Spam
Hi its in durban are you still on this number,Non-Spam
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam
U still havent got urself a jacket ah?,Non-Spam
Armand says get your ass over to epsilon,Non-Spam
Yeah it's jus rite...,Non-Spam
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam
Just sleeping..and surfing,Non-Spam
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
Aiyah ok wat as long as got improve can already wat...,Non-Spam
